k,|E0|/max|E_eml|,|1+rA|,|1+rB|
3.000000000000000000e+01,5.574687739277855297e-02,1.968461723573925903e+00,1.939065319838340518e+00
5.000000000000000000e+01,3.353214824901113583e-02,1.974827696095746932e+00,1.939065319838340518e+00
8.000000000000000000e+01,2.098410611692781008e-02,1.978070891848995982e+00,1.939065319838340518e+00
1.200000000000000000e+02,1.399858792779991486e-02,1.979766018986645282e+00,1.939065319838340518e+00
2.000000000000000000e+02,8.403363364096293545e-03,1.981066816843478628e+00,1.939065319838340518e+00
3.000000000000000000e+02,5.603601667712982716e-03,1.981698692761338032e+00,1.939065319838340518e+00
5.000000000000000000e+02,3.362800782013316506e-03,1.982195274098099702e+00,1.939065319838340518e+00
8.000000000000000000e+02,2.101972297305999826e-03,1.982471110554212546e+00,1.939065319838340518e+00
1.200000000000000000e+03,1.401396371742528102e-03,1.982623265772160748e+00,1.939065319838340518e+00
2.000000000000000000e+03,8.408767440481337103e-04,1.982744430385092960e+00,1.939065319838340518e+00
4.000000000000000000e+03,4.204529112427205276e-04,1.982834977279218425e+00,1.939065319838340518e+00
8.000000000000000000e+03,2.102300805751924310e-04,1.982880145723680210e+00,1.939065319838340518e+00
